Designator,Mid X,Mid Y,Layer,Rotation
C1,112.678122,-79.707911,T,270.0
C1,71.974601,-79.707911,T,270.0
C1,112.678122,-59.624001,T,270.0
C1,71.974601,-59.624001,T,270.0
C2,104.028122,-78.757911,T,180.0
C2,63.324601,-78.757911,T,180.0
C2,104.028122,-58.674001,T,180.0
C2,63.324601,-58.674001,T,180.0
J2,109.551022,-72.115911,T,180.0
J2,68.847501,-72.115911,T,180.0
J2,109.551022,-52.032001,T,180.0
J2,68.847501,-52.032001,T,180.0
R1,97.446022,-75.417911,B,0.0
R1,56.742501,-75.417911,B,0.0
R1,97.446022,-55.334001,B,0.0
R1,56.742501,-55.334001,B,0.0
R10,107.193122,-79.862911,T,270.0
R10,66.489601,-79.862911,T,270.0
R10,107.193122,-59.779001,T,270.0
R10,66.489601,-59.779001,T,270.0
R11,104.028122,-80.407911,T,0.0
R11,63.324601,-80.407911,T,0.0
R11,104.028122,-60.324001,T,0.0
R11,63.324601,-60.324001,T,0.0
R12,100.378122,-80.407911,T,0.0
R12,59.674601,-80.407911,T,0.0
R12,100.378122,-60.324001,T,0.0
R12,59.674601,-60.324001,T,0.0
R2,124.426022,-75.507911,B,0.0
R2,83.722501,-75.507911,B,0.0
R2,124.426022,-55.424001,B,0.0
R2,83.722501,-55.424001,B,0.0
R3,102.278122,-75.507911,B,180.0
R3,61.574601,-75.507911,B,180.0
R3,102.278122,-55.424001,B,180.0
R3,61.574601,-55.424001,B,180.0
R4,122.569122,-77.257911,B,0.0
R4,81.865601,-77.257911,B,0.0
R4,122.569122,-57.174001,B,0.0
R4,81.865601,-57.174001,B,0.0
R5,110.028122,-75.507911,B,0.0
R5,69.324601,-75.507911,B,0.0
R5,110.028122,-55.424001,B,0.0
R5,69.324601,-55.424001,B,0.0
R6,118.886022,-75.507911,B,0.0
R6,78.182501,-75.507911,B,0.0
R6,118.886022,-55.424001,B,0.0
R6,78.182501,-55.424001,B,0.0
R7,114.066022,-75.507911,B,0.0
R7,73.362501,-75.507911,B,0.0
R7,114.066022,-55.424001,B,0.0
R7,73.362501,-55.424001,B,0.0
R8,126.171022,-76.433911,T,90.0
R8,85.467501,-76.433911,T,90.0
R8,126.171022,-56.350001,T,90.0
R8,85.467501,-56.350001,T,90.0
R9,111.003122,-79.862911,T,270.0
R9,70.299601,-79.862911,T,270.0
R9,111.003122,-59.779001,T,270.0
R9,70.299601,-59.779001,T,270.0
U1,117.178122,-79.407911,T,180.0
U1,76.474601,-79.407911,T,180.0
U1,117.178122,-59.324001,T,180.0
U1,76.474601,-59.324001,T,180.0
